State,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.Grow_Up_Area,Exact_Age,Q6.Ethnic_Group,Q7.No_of_Meals_Per_Day,Q8.No_of_Meals_Between_Intakes,Q9.Norms_for_Breakfast,Q9.Norms_for_Lunch,Q9.Norms_for_Dinner,Q9.Norms_for_Supper,Q9.Norms_for_Snack,Q9.Norms_for_TeaTime,Q10.Beverage_for_Breakfast,Q10.Beverage_for_Lunch,Q10.Beverage_for_Dinner,Q10.Beverage_for_Supper,Q10.Beverage_for_Snack,Q10.Beverage_for_TeaTime,Q11.NO._of_Times_Eat_at_Home_Last_Week,Q11.Recode_NO._of_Times_Eat_at_Home_Last_Week,Q11.Eat_Out_Ratio,Q13.Who_Cooks,Q14.Food_Must_Be,Q15a.Halal,Q15b.Halal,Q15c.Halal,Q15d.Halal,Q15e.Halal,Q15f.Halal,Q16.a,Q16.b,Q16.c,Q16.d,Q16.e,Q16.f,Q16.g,Q16.h,Q17.1,Q17.1rec1,Q17.1rec2,Q17.2,Q17.2rec1,Q19.a,Q19.b,Q22.a,Q22.b,Q22.c,Q29a.Religion,Q30.Religion
6,1,1,1,1,40,2,3,1,188,111,111,181,181,181,2,1,1,14,3,14,7,14,0.6666666666666666,2,1,1,1,1,1,3,1,3,3,2,3,2,4,2,2,131,185,13,105,Mixed rice,1,2,5,3,1,1,5
6,1,2,1,1,30,2,3,2,188,111,188,181,181,135,6,9,1,13,6,3,21,0,0.0,1,1,1,1,1,3,1,1,1,1,2,3,2,4,3,3,105,3,1,170,Roti canai,1,2,2,7,6,1,2
9,1,2,1,1,30,4,3,1,188,111,111,181,115,181,1,1,1,14,9,14,18,10,0.35714285714285715,6,1,3,2,3,3,3,3,1,4,2,2,2,4,2,2,101,206,21,111,Nasi Lemak,1,4,7,6,1,8,5
9,1,2,2,2,48,2,3,1,188,111,181,181,181,115,2,1,2,14,14,2,14,4,0.2222222222222222,1,1,1,1,1,1,2,1,2,1,2,2,2,4,3,3,160,110,9,140,Nasi Lemak,1,3,5,6,1,1,1
2,1,1,2,2,24,2,2,1,188,111,111,121,151,151,9,9,3,13,13,13,2,19,0.9047619047619048,6,1,1,1,1,2,1,1,3,3,3,4,4,2,3,2,188,13,9,121,ABC,1,2,3,4,5,1,2
2,1,1,2,2,35,2,2,2,188,111,111,188,151,151,3,13,13,13,14,14,0,21,1.0,6,1,1,1,1,1,2,1,3,3,3,4,4,2,3,2,140,116,17,111,Rendang,1,2,3,4,5,1,5
3,1,2,1,1,18,2,3,2,188,111,111,141,151,151,3,3,3,14,14,14,7,14,0.6666666666666666,1,1,1,1,1,1,2,1,3,3,3,3,3,4,4,4,140,23,13,188,Seafood,1,2,5,3,2,1,1
4,1,1,3,3,16,2,4,1,188,181,111,181,151,181,4,3,2,1,6,6,14,0,0.0,6,1,1,1,1,1,1,1,4,1,2,2,2,4,1,1,170,119,5,160,Fried mee,1,4,2,7,4,1,2
5,1,2,1,2,31,4,3,1,188,101,111,181,181,181,2,13,14,14,14,14,21,0,0.0,1,3,2,2,2,2,3,2,2,1,2,1,1,4,1,1,140,116,17,121,Nasi lemak,4,6,1,3,5,3,4
5,1,2,1,1,16,4,3,1,188,101,101,181,115,181,13,1,1,14,14,1,15,6,0.2857142857142857,6,3,2,2,2,3,3,2,2,3,2,2,2,4,1,1,101,206,21,111,Roti canai,2,6,3,2,6,4,3
5,1,2,1,1,33,4,3,2,188,101,111,181,115,181,2,3,1,1,1,1,5,16,0.7619047619047619,6,3,3,2,2,3,2,2,2,2,3,3,2,3,2,1,101,206,21,111,Vegetable,4,1,5,1,2,3,2
6,1,1,1,1,33,2,4,3,188,101,101,188,188,115,3,11,1,4,9,13,8,16,0.6666666666666666,2,4,1,1,1,1,2,1,3,3,2,3,3,4,2,2,111,114,8,105,Mee bandung,1,6,4,3,1,1,2
6,1,1,1,2,23,2,3,2,188,111,111,115,115,135,3,9,11,2,13,9,21,1,0.04545454545454546,1,1,1,1,1,1,2,1,4,2,2,2,3,4,2,2,105,205,20,105,Fried rice,1,2,3,1,2,1,2
6,1,2,1,2,32,4,3,2,188,111,111,188,188,151,7,1,3,1,2,3,0,21,1.0,1,1,2,2,2,3,2,2,2,2,4,3,3,2,3,2,111,114,8,101,Nasi Lemak,2,5,4,3,5,3,2
6,1,2,1,1,54,2,3,1,188,111,111,181,181,151,3,1,1,14,14,2,18,3,0.14285714285714285,1,1,1,1,1,1,1,1,2,1,3,2,2,4,2,2,105,8,6,105,Roti canai,1,2,5,7,1,1,5
6,1,2,1,1,43,2,3,2,188,111,188,181,181,135,2,1,1,6,6,3,17,3,0.15,1,1,1,1,1,2,1,1,2,1,2,3,2,4,3,3,188,4,2,101,Bubur Caca,1,2,2,4,7,1,1
7,1,2,2,2,50,2,2,1,188,181,111,181,181,181,2,14,1,14,14,14,14,0,0.0,1,1,1,1,1,2,1,1,2,2,2,2,2,4,2,2,101,206,21,140,Vegetable,1,4,5,1,8,1,1
8,1,1,1,1,25,2,3,1,188,101,101,181,181,181,2,1,1,14,14,14,18,3,0.14285714285714285,6,4,1,1,1,1,1,1,2,2,3,2,3,4,2,2,131,185,13,140,Nasi dagang,4,6,5,1,8,1,2
8,1,2,1,2,21,4,3,4,188,101,111,188,115,115,2,9,1,6,6,13,15,6,0.2857142857142857,4,3,3,3,2,1,1,1,2,2,3,2,2,4,1,2,101,206,21,140,Curry Mee,2,1,6,3,4,3,2
9,1,2,1,2,57,2,3,1,188,101,111,181,181,181,2,2,1,14,14,14,21,0,0.0,1,2,1,1,1,1,2,1,3,1,2,2,2,4,2,2,101,206,21,105,Asam laksa,1,2,5,6,3,1,1
9,1,1,3,3,53,2,2,1,188,111,181,181,181,115,2,1,2,14,14,2,21,0,0.0,2,4,1,1,2,2,2,2,1,1,2,1,1,4,2,2,140,5,3,101,Roti canai,1,2,3,2,7,1,1
9,1,2,1,1,20,2,3,2,188,111,111,181,181,115,3,11,6,14,14,11,20,1,0.04761904761904762,6,3,1,1,1,1,2,1,2,2,2,2,2,4,2,2,101,206,21,111,Nasi lemak,1,2,3,5,8,1,2
9,1,1,1,2,38,4,3,1,188,111,111,181,181,181,2,3,1,14,14,14,11,10,0.47619047619047616,2,2,2,2,2,1,2,1,3,1,3,3,3,3,2,3,111,114,8,121,Tosai,1,2,6,4,2,3,2
9,1,1,1,3,33,3,2,2,188,111,111,181,188,181,2,1,1,14,1,14,7,21,0.75,2,3,2,2,1,2,2,1,4,4,2,2,3,3,2,2,131,23,13,111,Laksa,4,2,3,1,4,2,2
9,1,2,1,1,58,2,2,1,188,111,181,181,181,181,3,1,14,14,14,14,14,0,0.0,1,2,1,1,1,1,2,1,3,1,2,2,2,4,3,3,101,206,21,105,Bah Kut Teh,1,2,1,4,7,1,2
10,1,2,3,3,41,2,3,2,188,111,111,181,181,135,5,11,1,14,14,3,7,14,0.6666666666666666,1,1,1,1,1,3,2,1,3,4,2,3,2,4,2,3,105,184,4,105,tomyam,1,4,1,4,7,1,3
10,1,2,3,3,16,2,3,2,188,111,188,181,181,135,5,1,1,14,14,3,14,7,0.3333333333333333,6,1,1,1,1,3,2,1,4,1,2,2,2,4,2,2,105,200,18,105,Roti canai,1,5,1,4,6,1,3
10,1,1,1,1,18,2,3,2,188,111,111,181,181,188,3,1,2,14,14,3,14,7,0.3333333333333333,6,1,1,1,2,3,3,1,4,1,1,3,3,4,3,2,105,206,21,111,nasi lemak,2,4,7,6,3,1,2
